Vehicle_ID,Lane,Frame,Timestamp_sec
9,1,1,0.03
8,1,1,0.03
7,1,1,0.03
6,1,1,0.03
5,1,1,0.03
4,1,1,0.03
3,1,1,0.03
2,1,1,0.03
1,1,1,0.03
11,1,9,0.3
10,1,9,0.3
12,1,17,0.57
13,1,26,0.87
14,1,33,1.1
15,2,39,1.3
17,1,44,1.47
18,2,46,1.53
19,1,48,1.6
20,1,62,2.07
21,1,74,2.47
22,1,83,2.77
23,1,108,3.6
27,1,111,3.7
26,1,111,3.7
25,1,111,3.7
29,1,114,3.8
30,1,115,3.83
28,1,118,3.93
31,1,119,3.97
32,1,132,4.4
33,1,150,5.0
34,1,152,5.07
36,1,168,5.6
35,1,169,5.63
38,1,179,5.97
39,1,185,6.17
40,1,187,6.23
41,1,193,6.43
37,1,193,6.43
42,1,196,6.53
43,1,207,6.9
45,1,209,6.97
47,1,218,7.27
48,1,224,7.47
49,1,225,7.5
50,1,230,7.67
51,1,233,7.77
52,1,243,8.1
53,1,245,8.17
54,1,248,8.27
57,1,281,9.37
58,1,315,10.5
59,1,316,10.53
61,1,327,10.9
62,1,333,11.1
63,1,341,11.37
65,1,345,11.5
66,1,348,11.6
69,1,354,11.8
68,1,354,11.8
67,1,354,11.8
73,1,360,12.0
72,1,360,12.0
74,1,361,12.03
75,1,362,12.07
76,1,368,12.27
80,1,376,12.53
82,1,386,12.87
83,1,394,13.13
84,1,406,13.53
85,1,410,13.67
88,1,432,14.4
87,1,432,14.4
90,1,445,14.83
92,1,471,15.7
94,1,492,16.4
95,1,494,16.47
96,1,497,16.57
97,1,504,16.8
98,1,512,17.07
100,1,516,17.2
99,1,516,17.2
101,1,517,17.23
102,1,531,17.7
103,1,547,18.23
104,1,550,18.33
105,1,567,18.9
107,1,582,19.4
108,1,601,20.03
109,1,615,20.5
110,1,624,20.8
111,1,630,21.0
112,1,634,21.13
113,1,654,21.8
116,1,677,22.57
118,1,683,22.77
117,1,684,22.8
119,1,686,22.87
120,1,699,23.3
122,1,701,23.37
123,1,703,23.43
121,1,703,23.43
124,1,707,23.57
126,1,713,23.77
125,1,713,23.77
127,1,721,24.03
128,1,731,24.37
129,1,745,24.83
130,1,746,24.87
131,1,747,24.9
132,1,749,24.97
134,1,754,25.13
133,1,758,25.27
135,1,770,25.67
137,1,779,25.97
136,1,782,26.07
138,1,793,26.43
139,1,794,26.47
140,1,796,26.53
142,1,799,26.63
141,1,799,26.63
143,1,803,26.77
144,1,818,27.27
145,1,830,27.67
146,1,843,28.1
148,2,845,28.17
147,1,845,28.17
149,1,852,28.4
150,1,855,28.5
151,1,866,28.87
152,1,874,29.13
153,1,881,29.37
154,1,887,29.57
155,1,893,29.77
158,1,894,29.8
159,1,906,30.2
160,1,912,30.4
161,1,916,30.53
163,1,929,30.97
165,2,980,32.67
166,2,982,32.73
167,1,1000,33.33
168,1,1015,33.83
169,1,1032,34.4
173,1,1041,34.7
172,2,1041,34.7
171,1,1041,34.7
170,1,1041,34.7
174,1,1056,35.2
175,1,1065,35.5
177,1,1071,35.7
178,1,1083,36.1
176,1,1083,36.1
179,1,1088,36.27
182,1,1106,36.87
183,1,1109,36.97
185,1,1114,37.13
186,1,1118,37.27
187,1,1135,37.83
188,1,1139,37.97
191,1,1157,38.57
193,1,1171,39.03
196,1,1174,39.13
195,1,1175,39.17
197,1,1188,39.6
199,2,1193,39.77
198,1,1204,40.13
200,1,1208,40.27
201,1,1212,40.4
203,1,1227,40.9
206,1,1271,42.37
207,1,1272,42.4
208,1,1282,42.73
209,1,1286,42.87
210,1,1306,43.53
212,1,1307,43.57
211,1,1307,43.57
213,1,1324,44.13
214,1,1331,44.37
216,1,1339,44.63
217,2,1345,44.83
218,1,1347,44.9
219,1,1350,45.0
220,1,1351,45.03
221,2,1354,45.13
222,1,1360,45.33
223,1,1364,45.47
225,1,1381,46.03
230,1,1400,46.67
226,1,1400,46.67
231,1,1403,46.77
232,1,1409,46.97
235,1,1417,47.23
236,1,1420,47.33
233,1,1420,47.33
237,1,1424,47.47
240,1,1432,47.73
241,1,1435,47.83
247,2,1443,48.1
246,1,1443,48.1
245,2,1444,48.13
242,1,1444,48.13
250,1,1448,48.27
251,1,1449,48.3
253,1,1459,48.63
255,1,1461,48.7
258,1,1483,49.43
257,1,1483,49.43
259,1,1487,49.57
263,1,1503,50.1
260,1,1504,50.13
261,1,1509,50.3
264,1,1510,50.33
265,2,1522,50.73
267,1,1528,50.93
269,1,1531,51.03
268,2,1531,51.03
270,1,1547,51.57
271,1,1548,51.6
273,1,1557,51.9
272,1,1558,51.93
275,1,1565,52.17
274,2,1565,52.17
276,2,1572,52.4
277,1,1583,52.77
280,1,1603,53.43
279,1,1603,53.43
281,1,1616,53.87
282,1,1628,54.27
284,1,1644,54.8
285,1,1646,54.87
286,1,1650,55.0
288,1,1674,55.8
287,1,1675,55.83
289,1,1680,56.0
291,1,1702,56.73
292,1,1706,56.87
